,title,company,link,job_id,location,date,has_job_description
0,Developer,Hoppinger,https://nl.linkedin.com/jobs/view/developer-at-hoppinger-3889851154,3889851154,Rotterdam,2024-04-09,False
1,Triple A Developer,NextLink Group,https://nl.linkedin.com/jobs/view/triple-a-developer-at-nextlink-group-3891710223,3891710223,Amsterdam,2024-04-10,False
2,Java-ontwikkelaar,Stormin,https://nl.linkedin.com/jobs/view/java-ontwikkelaar-at-stormin-3889772252,3889772252,Breda,2024-04-09,False
3,Developer Leiden - Agency,SWIS - Digitaal bureau,https://nl.linkedin.com/jobs/view/developer-leiden-agency-at-swis-digitaal-bureau-3890254146,3890254146,Leiden,2024-04-09,False
4,"Software ontwikkelaar PHP/Laravel, Eindhoven",Shazzoo,https://nl.linkedin.com/jobs/view/software-ontwikkelaar-php-laravel-eindhoven-at-shazzoo-3890277521,3890277521,Eindhoven,2024-04-09,False
5,Developer | Eindhoven,Jelling,https://nl.linkedin.com/jobs/view/developer-eindhoven-3889718053,3889718053,Eindhoven,2024-04-09,False
6,Developer Traineeship | Overheid | Zwolle,Feefo,https://nl.linkedin.com/jobs/view/developer-traineeship-overheid-zwolle-at-feefo-3888119130,3888119130,Zwolle,2024-04-09,False
7,"Software ontwikkelaar in Alkmaar, fulltime 32-40 uur, gezellig familiebedrijf",Xafax,https://nl.linkedin.com/jobs/view/software-ontwikkelaar-in-alkmaar-fulltime-32-40-uur-gezellig-familiebedrijf-at-xafax-3889715349,3889715349,Alkmaar,2024-04-09,False
8,Starter Software Engineer,Trinamics,https://nl.linkedin.com/jobs/view/starter-software-engineer-at-trinamics-3889882823,3889882823,Eindhoven,2024-04-09,False
9,Low code developer - juniorfunctie | Breda,Jelling,https://nl.linkedin.com/jobs/view/low-code-developer-juniorfunctie-breda-3891638188,3891638188,Breda,2024-04-09,False
10,API Gateway Developer,Wipro,https://nl.linkedin.com/jobs/view/api-gateway-developer-at-wipro-3886253484,3886253484,The Hague,2024-04-09,False
11,"Full Stack Developer, Utrecht",Hunt IT,https://nl.linkedin.com/jobs/view/full-stack-developer-utrecht-3890293995,3890293995,Utrecht,2024-04-09,False
12,"Developer Outsystems, Hardinxveld-Giessendam",Bytes Recruitment,https://nl.linkedin.com/jobs/view/developer-outsystems-hardinxveld-giessendam-at-bytes-recruitment-3890236538,3890236538,Boven-Hardinxveld,2024-04-09,False
13,"Developer & Automatisering medewerker, fulltime, omgeving Rotterdam | Bergschenhoek",Mafico,https://nl.linkedin.com/jobs/view/developer-automatisering-medewerker-fulltime-omgeving-rotterdam-bergschenhoek-3889717096,3889717096,Bergschenhoek,2024-04-09,False
14,TripleA Developer,JSS ASSOCIATES,https://nl.linkedin.com/jobs/view/triplea-developer-at-jss-associates-3888491598,3888491598,Amsterdam,2024-04-09,False
15,Developer Outsystems | Hardinxveld-Giessendam,Bytes Recruitment,https://nl.linkedin.com/jobs/view/developer-outsystems-hardinxveld-giessendam-at-bytes-recruitment-3889719027,3889719027,Boven-Hardinxveld,2024-04-09,False
16,"Developer Java, Nieuwegein",Hunt IT,https://nl.linkedin.com/jobs/view/developer-java-nieuwegein-3890255146,3890255146,Nieuwegein,2024-04-09,False
17,Backend Ontwikkelaar,Eminent Groep,https://nl.linkedin.com/jobs/view/backend-ontwikkelaar-at-eminent-groep-3890710572,3890710572,Utrecht,2024-04-10,False
18,"Full-stack medior Developer, Maastricht",Career Result,https://nl.linkedin.com/jobs/view/full-stack-medior-developer-maastricht-3890264358,3890264358,Maastricht,2024-04-09,False
19,Database-ontwikkelaar,CareerValue B.V.,https://nl.linkedin.com/jobs/view/database-ontwikkelaar-at-careervalue-b-v-3890768949,3890768949,Gelderland,2024-04-10,False
20,RPA Developer,You-Get - Your Hyperautomation Expert,https://nl.linkedin.com/jobs/view/rpa-developer-at-you-get-your-hyperautomation-expert-3889719076,3889719076,’s-Hertogenbosch,2024-04-09,False
21,Software Developer | Helmond,Jelling,https://nl.linkedin.com/jobs/view/software-developer-helmond-3891636285,3891636285,Helmond,2024-04-09,False
22,Back-End Ontwikkelaar Python,GroupM,https://nl.linkedin.com/jobs/view/back-end-ontwikkelaar-python-at-groupm-3890143596,3890143596,Eindhoven,2024-04-10,False
23,Backend Developer,Nederlands Instituut voor Beeld en Geluid,https://nl.linkedin.com/jobs/view/backend-developer-at-nederlands-instituut-voor-beeld-en-geluid-3888689044,3888689044,Hilversum,2024-04-10,False
24,Oracle developer | Gouda,Jelling,https://nl.linkedin.com/jobs/view/oracle-developer-gouda-3889718082,3889718082,Gouda,2024-04-09,False
25,"Java Angular11 Developer, Utrecht",Hunt IT,https://nl.linkedin.com/jobs/view/java-angular11-developer-utrecht-3890610150,3890610150,Utrecht,2024-04-09,False
26,Applicatie Developer | Helmond,Jelling,https://nl.linkedin.com/jobs/view/applicatie-developer-helmond-3891638202,3891638202,Helmond,2024-04-09,False
27,Frontend developer HBO(+) bancaire sector regio Utrecht,Voltys Recruitment & Executive Search,https://nl.linkedin.com/jobs/view/frontend-developer-hbo-%2B-bancaire-sector-regio-utrecht-3890284290,3890284290,Utrecht,2024-04-09,False
28,Junior Magento Developer voor nieuw Agency in Rotterdam,DEXTER,https://nl.linkedin.com/jobs/view/junior-magento-developer-voor-nieuw-agency-in-rotterdam-at-dexter-3890257827,3890257827,Rotterdam,2024-04-09,False
29,"Developer Justitiële Informatiedienst, Almelo",TopHeadHunting,https://nl.linkedin.com/jobs/view/developer-justiti%C3%ABle-informatiedienst-almelo-3890284828,3890284828,Almelo,2024-04-09,False
30,"Backend PHP Laravel Developer voor websites, apps en mobiele platforms, Den Bosch",Dexter,https://nl.linkedin.com/jobs/view/backend-php-laravel-developer-voor-websites-apps-en-mobiele-platforms-den-bosch-at-dexter-3890262538,3890262538,Den Bosch,2024-04-09,False
31,PHP-ontwikkelaar,DEXTER,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-at-dexter-3887109112,3887109112,Rotterdam,2024-04-09,False
32,"Full Stack PHP ontwikkelaar | Laravel + Vue.js, Den Haag",DEXTER,https://nl.linkedin.com/jobs/view/full-stack-php-ontwikkelaar-laravel-%2B-vue-js-den-haag-at-dexter-3890261845,3890261845,The Hague,2024-04-09,False
33,"PHP Developer | Laravel, Symfony | salaris tot €4.500,-., Groningen",Dexter,https://nl.linkedin.com/jobs/view/php-developer-laravel-symfony-salaris-tot-%E2%82%AC4-500-groningen-at-dexter-3890272142,3890272142,Groningen,2024-04-09,False
34,Big Data Engineer,KPN,https://nl.linkedin.com/jobs/view/big-data-engineer-at-kpn-3892443799,3892443799,Zoetermeer,2024-04-10,False
35,"Magento Developer voor maatwerk websites op PHP/Laravel, Noordwijkerhout",DEXTER,https://nl.linkedin.com/jobs/view/magento-developer-voor-maatwerk-websites-op-php-laravel-noordwijkerhout-at-dexter-3890268560,3890268560,Noordwijkerhout,2024-04-09,False
36,"PHP Developer voor High-traffic platforms vanaf scratch | LAMP, Dinteloord",Dexter,https://nl.linkedin.com/jobs/view/php-developer-voor-high-traffic-platforms-vanaf-scratch-lamp-dinteloord-at-dexter-3890272466,3890272466,Dinteloord,2024-04-09,False
37,"PHP ontwikkelaar (Laravel), Waalre",Dexter,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-laravel-waalre-at-dexter-3890267450,3890267450,Waalre,2024-04-09,False
38,"PHP (Laravel) ontwikkelaar, Leiden",DEXTER,https://nl.linkedin.com/jobs/view/php-laravel-ontwikkelaar-leiden-at-dexter-3890250768,3890250768,Leiden,2024-04-09,False
39,Oracle ontwikkelaar | Bussum,Jelling,https://nl.linkedin.com/jobs/view/oracle-ontwikkelaar-bussum-3889718069,3889718069,Bussum,2024-04-09,False
40,"PHP Developer voor overgang naar Elixir + auto van de zaak, Kronenberg",Dexter,https://nl.linkedin.com/jobs/view/php-developer-voor-overgang-naar-elixir-%2B-auto-van-de-zaak-kronenberg-at-dexter-3890283947,3890283947,Kronenberg,2024-04-09,False
41,"PHP ontwikkelaar voor groene oplaad sector, Delft",DEXTER,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-voor-groene-oplaad-sector-delft-at-dexter-3890285573,3890285573,Delft,2024-04-09,False
42,Developer Traineeship | Overheid | Utrecht,True Legends IT Professionals,https://nl.linkedin.com/jobs/view/developer-traineeship-overheid-utrecht-at-true-legends-it-professionals-3891616454,3891616454,Utrecht,2024-04-09,False
43,"PHP ontwikkelaar (Symfony), Utrecht",Dexter,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-symfony-utrecht-at-dexter-3890263407,3890263407,Utrecht,2024-04-09,False
44,Als reguliere developer de low-code wereld in? | Nieuwegein,CareerValue,https://nl.linkedin.com/jobs/view/als-reguliere-developer-de-low-code-wereld-in%3F-nieuwegein-3889713696,3889713696,Nieuwegein,2024-04-09,False
45,"PHP Developer (Laravel), Groningen",Dexter,https://nl.linkedin.com/jobs/view/php-developer-laravel-groningen-at-dexter-3890289588,3890289588,Groningen,2024-04-09,False
46,Oracle Developer - senior | Amsterdam,Jelling,https://nl.linkedin.com/jobs/view/oracle-developer-senior-amsterdam-3889712900,3889712900,Amsterdam,2024-04-09,False
47,"PHP Developer: E-commerceplatforms en webtoepassingen, Goes",Dexter,https://nl.linkedin.com/jobs/view/php-developer-e-commerceplatforms-en-webtoepassingen-goes-at-dexter-3890269950,3890269950,Goes,2024-04-09,False
48,Senior Java/Kotlin Ontwikkelaar,Eminent Groep,https://nl.linkedin.com/jobs/view/senior-java-kotlin-ontwikkelaar-at-eminent-groep-3888813054,3888813054,Amersfoort,2024-04-09,False
49,Back-end ontwikkelaar - Juniorfunctie | Oosterhout (NB),Jelling,https://nl.linkedin.com/jobs/view/back-end-ontwikkelaar-juniorfunctie-oosterhout-nb-3889719034,3889719034,Oosterhout,2024-04-09,False
50,"PHP (Laravel) Developer in de omgeving van Hengelo, Hengelo (OV)",Dexter,https://nl.linkedin.com/jobs/view/php-laravel-developer-in-de-omgeving-van-hengelo-hengelo-ov-at-dexter-3890268875,3890268875,Hengelo,2024-04-09,False
51,"PHP ontwikkelaar voor SaaS financiële platforms, Zevenhoven",Dexter,https://nl.linkedin.com/jobs/view/php-ontwikkelaar-voor-saas-financi%C3%ABle-platforms-zevenhoven-at-dexter-3890271603,3890271603,Zevenhoven,2024-04-09,False
52,"Ervaren Fullstack developer regio Utrecht (PHP, Vue.js, Javascript)",Dexter,https://nl.linkedin.com/jobs/view/ervaren-fullstack-developer-regio-utrecht-php-vue-js-javascript-at-dexter-3890277460,3890277460,Utrecht,2024-04-09,False
